date,count,distance,time,elevationGain,avgSpeed,avgHR,avgRunCadence,avgCyclingCadence,calories,
06/06/2016,2,50.42,3:55:13,"4,469",12.9,124,--,64,"1,900",
05/30/2016,2,50.25,4:01:20,"4,380",12.5,124,--,61,"2,108",
05/23/2016,2,46.40,3:52:19,"4,370",12.0,121,--,61,"1,937",
05/16/2016,2,46.65,3:51:16,"4,304",12.1,124,--,60,"1,996",
05/09/2016,1,22.13,1:54:37,"2,123",11.6,120,--,58,923,
05/02/2016,3,39.24,3:24:35,"3,533",11.5,117,--,61,"1,249",
01/11/2016,2,46.45,4:59:00,"4,409",9.3,111,--,62,"1,448",
01/04/2016,1,24.16,2:03:11,"2,300",11.8,121,--,64,754,
11/30/2015,1,23.97,2:03:03,"2,247",11.7,123,--,64,767,
11/23/2015,1,22.24,1:54:44,"2,106",11.6,123,--,62,736,
11/09/2015,1,22.23,1:43:22,"2,119",12.9,119,--,64,644,
11/02/2015,1,24.11,1:51:09,"2,280",13.0,124,--,66,769,
10/26/2015,2,48.71,3:38:51,"4,242",13.4,119,--,65,"2,270",
10/19/2015,3,72.48,5:33:59,"6,414",13.0,121,--,66,"2,298",
10/12/2015,2,50.01,3:51:14,"4,350",13.0,122,--,66,"1,486",
10/05/2015,3,72.30,5:41:26,"6,437",12.7,122,--,67,"2,185",
09/28/2015,2,49.57,3:52:07,"4,321",12.8,122,--,68,"1,541",
09/14/2015,3,46.78,3:35:18,"4,318",13.0,123,--,67,"1,549",
09/07/2015,2,49.42,3:59:29,"4,659",12.4,121,--,65,"1,492",
08/31/2015,3,72.66,5:40:59,"6,519",12.8,117,--,65,"3,867",
08/24/2015,2,44.97,3:40:39,"4,054",12.2,120,--,61,"5,046",
08/10/2015,2,24.59,3:36:02,"1,935",6.8,122,--,67,"3,782",
08/03/2015,2,43.71,3:39:26,"3,661",12.0,118,--,61,"5,051",
07/27/2015,3,67.57,5:08:11,"5,423",13.2,121,--,61,"8,001",
07/20/2015,1,16.08,1:43:49,488,9.3,129,--,55,"1,561",
07/13/2015,3,72.50,5:23:45,"6,560",13.4,120,--,65,"8,389",
07/06/2015,2,48.41,3:41:02,"4,109",13.1,119,--,65,"5,182",
06/22/2015,2,47.03,3:32:48,"3,380",13.3,120,--,65,"4,597",
06/15/2015,3,72.21,5:24:22,"6,282",13.4,118,--,67,"7,702",
06/08/2015,1,22.05,1:39:57,"1,967",13.2,126,--,66,"2,406",
06/01/2015,2,45.79,3:26:34,"4,235",13.3,125,--,67,"5,083",
05/25/2015,1,23.79,1:48:57,"2,297",13.1,126,--,68,"2,707",
05/18/2015,1,26.32,1:56:26,"2,143",13.6,119,--,66,"2,409",
05/11/2015,2,47.18,3:41:16,"4,488",12.8,116,--,63,"5,520",
05/04/2015,3,102.66,7:48:08,"10,055",13.2,116,--,65,"10,106",
04/27/2015,2,46.47,3:34:58,"4,244",13.0,122,--,63,"4,711",
04/20/2015,1,22.10,1:43:46,"2,034",12.8,115,--,63,"2,455",
04/13/2015,3,72.65,5:32:45,"6,373",13.1,120,--,63,"7,897",
04/06/2015,1,26.29,1:59:17,"3,723",13.2,122,--,65,"3,042",
03/30/2015,2,46.80,3:55:33,"4,158",11.9,121,--,61,"5,371",
03/16/2015,1,20.73,1:45:59,"2,115",11.7,111,--,64,"2,660",
03/02/2015,3,72.04,5:26:27,"6,329",13.2,121,--,59,"7,800",
02/23/2015,2,47.11,3:32:44,"3,809",13.3,128,--,63,"5,056",
02/16/2015,2,45.43,3:28:21,"4,232",13.1,122,--,66,"4,941",
02/09/2015,1,24.66,2:01:20,"2,344",12.2,128,--,65,"2,860",
02/02/2015,1,22.08,1:45:10,"1,948",12.6,115,--,64,"2,430",
10/20/2014,3,73.20,5:31:31,"6,252",13.2,118,--,66,"7,222",
10/13/2014,2,46.21,3:30:23,"4,176",13.2,122,--,68,"5,027",
09/29/2014,3,72.60,5:25:07,"6,454",13.4,120,--,67,"7,968",
09/22/2014,2,46.88,3:39:06,"4,316",12.8,120,--,67,"5,472",
09/15/2014,3,64.02,4:50:05,"5,125",13.2,116,--,63,"6,156",
09/08/2014,3,71.15,5:20:15,"6,804",13.3,120,--,67,"6,937",
09/01/2014,1,23.57,1:43:22,"2,300",13.7,125,--,70,"2,122",
08/25/2014,1,24.94,2:08:35,"2,217",11.6,110,--,64,"2,413",
08/18/2014,3,65.96,4:58:39,"6,097",13.3,116,--,66,"6,383",
